order,pollutant,station,timing,type,value
115.0,NO2,all,weeks,air,21.62499105263166
116.0,NO2,all,weeks,air,19.78011981032674
117.0,NO2,all,weeks,air,18.070648253968287
118.0,NO2,all,weeks,air,16.088623678646993
119.0,NO2,all,weeks,air,13.345119978858385
120.0,NO2,all,weeks,air,10.886936746987965
121.0,NO2,all,weeks,air,10.21657809045228
122.0,NO2,all,weeks,air,9.723995381526125
123.0,NO2,all,weeks,air,10.062485140562265
124.0,NO2,all,weeks,air,11.849768875502054
125.0,NO2,all,weeks,air,16.41897299196791
126.0,NO2,all,weeks,air,22.277609738955977
127.0,NO2,all,weeks,air,26.50833527638205
128.0,NO2,all,weeks,air,27.330407317073306
129.0,NO2,all,weeks,air,26.116282842639713
130.0,NO2,all,weeks,air,24.91563458417865
131.0,NO2,all,weeks,air,23.40255484199806
132.0,NO2,all,weeks,air,22.753254230377287
133.0,NO2,all,weeks,air,22.238751829268384
134.0,NO2,all,weeks,air,22.89717596741353
135.0,NO2,all,weeks,air,23.658205912334445
136.0,NO2,all,weeks,air,24.983128280773283
137.0,NO2,all,weeks,air,25.548854526958444
138.0,NO2,all,weeks,air,24.19948545269594
139.0,NO2,all,weeks,air,21.761707527975705
140.0,NO2,all,weeks,air,19.316933062054996
141.0,NO2,all,weeks,air,17.471340425531977
142.0,NO2,all,weeks,air,15.014710222672116
143.0,NO2,all,weeks,air,12.742028440367026
144.0,NO2,all,weeks,air,8.753653971486775
145.0,NO2,all,weeks,air,8.05924120040693
146.0,NO2,all,weeks,air,7.689692878942018
147.0,NO2,all,weeks,air,8.262200101522843
148.0,NO2,all,weeks,air,10.614297256097577
149.0,NO2,all,weeks,air,15.000126395939107
150.0,NO2,all,weeks,air,20.638414517766613
151.0,NO2,all,weeks,air,24.708246044624893
152.0,NO2,all,weeks,air,25.935455983772986
153.0,NO2,all,weeks,air,25.351091277890617
154.0,NO2,all,weeks,air,23.32574827935238
155.0,NO2,all,weeks,air,22.448448393574445
156.0,NO2,all,weeks,air,21.24375015075387
157.0,NO2,all,weeks,air,21.500901807229027
158.0,NO2,all,weeks,air,22.266027811245095
159.0,NO2,all,weeks,air,22.865701405622566
160.0,NO2,all,weeks,air,24.401502911646674
161.0,NO2,all,weeks,air,24.60372871485958
162.0,NO2,all,weeks,air,23.203627710843495
163.0,NO2,all,weeks,air,20.30305732931735
164.0,NO2,all,weeks,air,18.110827008032192
165.0,NO2,all,weeks,air,16.37896793969854
166.0,NO2,all,weeks,air,14.779904426559401
167.0,NO2,all,weeks,air,12.726996881287741
0.0,NO2,all,years,air,26.225036874999955
1.0,NO2,all,years,air,28.96798522012575
2.0,NO2,all,years,air,27.26433916666664
3.0,NO2,all,years,air,21.10846416666663
4.0,NO2,all,years,air,26.72102416666662
5.0,NO2,all,years,air,21.937599583333295
6.0,NO2,all,years,air,21.445142083333298
7.0,NO2,all,years,air,20.190427556818197
8.0,NO2,all,years,air,20.766883958333313
9.0,NO2,all,years,air,21.85619958333333
10.0,NO2,all,years,air,23.27402729166664
11.0,NO2,all,years,air,19.328949078340994
12.0,NO2,all,years,air,19.991766666666642
13.0,NO2,all,years,air,20.561760208333304
14.0,NO2,all,years,air,21.076899166666653
15.0,NO2,all,years,air,21.695449764150922
16.0,NO2,all,years,air,18.04116718749997
17.0,NO2,all,years,air,21.003322916666654
18.0,NO2,all,years,air,18.646032812499957
19.0,NO2,all,years,air,21.00062578124997
20.0,NO2,all,years,air,25.064811458333292
21.0,NO2,all,years,air,23.857175260416653
